4616260|Bronx|BE S CASTLE HILL AVENUE - STRATFORD AVENUE|Mon 2016-11-07 10:59:35|42.25|92|40.8242,-73.87436 40.82498,-73.86841 40.8254,-73.86528 40.82591,-73.86031 40.82669,-73.85458 40.82731,-73.84998|
4456479|Queens|BE S TBB EXIT RAMP - MANHATTAN LIFT SPAN|Mon 2016-11-07 10:59:39|4.97|564|40.79789,-73.91988 40.79771,-73.92004 40.79758,-73.92022 40.79747,-73.92059 40.7975,-73.92109 40.79766,-73.92165 40.79811,-73.92263 40.79834,-73.92299 40.79872,-73.92381 40.79909,-73.92468 40.79933,-73.92524 40.79998,-73.92688 40.80096,-73.92916 40.8015,-73.93052 40.80185,-73.93137|
4456478|Queens|BE S TBB EXIT RAMP - QUEENS ANCHORAGE|Mon 2016-11-07 10:59:39|29.83|235|40.77225,-73.91989 40.77391,-73.9222 40.77474,-73.92301 40.77647,-73.92431 40.77836,-73.92576 40.78102,-73.92776 40.78372,-73.92982 40.78422,-73.93002 40.78477,-73.93011 40.78549,-73.93005 40.78603,-73.92985 40.78662,-73.92951 40.78832,-73.92802 40.78964,-73.92686 40.79087,-73.92589 40.7922,-73.92469 40.79453,-73.9226 40.79588,-73.92141 40.79702,-73.92051 40.79848,-73.91942 40.7991,-73.91897 40.8002,-73.91815 40.80157,-73.91711 40.80192,-73.91687 40.80223,-73.91668|
4616342|Manhattan|BKN Bridge Manhattan Side - FDR N Catherine Slip|Mon 2016-11-07 10:59:35|29.83|86|40.70811,-73.99944 40.70847,-73.99884 40.70868,-73.99833 40.70886,-73.99775 40.709,-73.99702 40.70914,-73.99594|
4616257|Brooklyn|BQE N ATLANTIC AVENUE - LEONARD STREET|Mon 2016-11-07 10:59:35|22.99|653|40.69153,-73.99911 40.69226,-73.99937 40.69289,-73.99937 40.69334,-73.99925 40.69406,-73.99898 40.695,-73.99853 40.69737,-73.99741 40.69943,-73.99642 40.69977,-73.9962 40.70014,-73.99584 40.70045,-73.99542 40.70079,-73.99488 40.70108,-73.99434 40.70137,-73.99355 40.70159,-73.99269 40.70166,-73.99198 40.70167,-73.9912 40.70159,-73.99059 40.70142,-73.98938 40.70108,-73.98712 40.70095,-73.98653 40.7008,-73.98609 40.7006,-73.98568 40.70026,-73.98522 40.6996,-73.98449 40.69931,-73.98416 40.69799,-73.98271 40.6973,-73.98195 40.69693,-73.98157 40.69653,-73.98087 40.69636,-73.98027 40.69627,-73.97947 40.6957,-73.96554 40.69576,-73.96468 40.69613,-73.96366 40.69656,-73.96311 40.69717,-73.96262 40.69781,-73.96242 40.70003,-73.96169 40.70126,-73.96114 40.70243,-73.96047 40.70487,-73.95908 40.70688,-73.95794 40.70892,-73.95675 40.71003,-73.95604 40.71069,-73.95561 40.71138,-73.95514 40.71215,-73.95462 40.71328,-73.95379 40.71391,-73.95317 40.71586,-73.95081 40.71759,-73.94829|
4616339|Manhattan|BQE N Atlantic Ave - BKN Bridge Manhattan Side|Mon 2016-11-07 10:59:35|24.23|294|40.6916,-73.99915 40.69236,-73.99939 40.69272,-73.99941 40.69328,-73.99929 40.69446,-73.99883 40.69543,-73.99836 40.69592,-73.99813 40.69775,-73.99725 40.69936,-73.99646 40.6996,-73.99635 40.7,-73.99596 40.70045,-73.99536 40.70098,-73.99451 40.70119,-73.994 40.70139,-73.99339 40.70155,-73.99284 40.70165,-73.99222 40.70166,-73.99147 40.70164,-73.99112 40.70154,-73.9904 40.70136,-73.9893 40.70114,-73.98897 40.70082,-73.98881 40.70055,-73.98886 40.70043,-73.98899 40.7004,-73.98915 40.70042,-73.98932 40.70069,-73.98985 40.70081,-73.99008 40.70154,-73.99099 40.70222,-73.99184 40.70376,-73.99377 40.70581,-73.99628 40.70823,-73.99922 40.70888,-74.00006 40.70941,-74.00078 40.71006,-74.00168|
4616340|Manhattan|BQE N Atlantic Ave - MAN Bridge Manhattan Side|Mon 2016-11-07 10:59:35|14.91|619|40.70164,-73.99112 40.70158,-73.99033 40.70144,-73.98932 40.70123,-73.98797 40.70115,-73.98746 40.70094,-73.98652 40.70073,-73.98592 40.70055,-73.98558 40.70029,-73.98521 40.70006,-73.98495 40.69975,-73.98468 40.69956,-73.98455 40.69944,-73.98451 40.69921,-73.9845 40.69905,-73.98456 40.69894,-73.98468 40.69882,-73.98492 40.69879,-73.98519 40.69883,-73.98542 40.69894,-73.98562 40.69915,-73.98584 40.6995,-73.98616 40.70018,-73.98654 40.70111,-73.98707 40.70177,-73.98743 40.70209,-73.9876 40.70259,-73.98791 40.70431,-73.98889 40.70547,-73.98953 40.7083,-73.99116 40.71165,-73.9929 40.71371,-73.99404 40.71502,-73.99479 40.7158,-73.99485|
4616235|Brooklyn|BQE N LEONARD STREET - 46TH STREET|Mon 2016-11-07 10:59:35|19.88|347|40.71759,-73.94829 40.71851,-73.94681 40.72006,-73.94421 40.72138,-73.94198 40.72195,-73.94112 40.7225,-73.94033 40.72317,-73.93918 40.72405,-73.9376 40.72425,-73.93719 40.72459,-73.93587 40.72534,-73.93299 40.72563,-73.93205 40.7261,-73.93113 40.72674,-73.93024 40.72736,-73.92949 40.72798,-73.92874 40.72859,-73.92808 40.72957,-73.92715 40.73062,-73.9264 40.73227,-73.92533 40.73285,-73.92479 40.73338,-73.9242 40.73378,-73.92363 40.73404,-73.92314 40.73455,-73.92188 40.73499,-73.92024|
4616229|Brooklyn|BQE S - GOW S ALTANTIC AVENUE - 9TH STREET|Mon 2016-11-07 10:59:35|42.87|94|40.67574,-74.00126 40.67652,-74.0018 40.67817,-74.00322 40.67864,-74.00347 40.67925,-74.0036 40.6796,-74.00358 40.68003,-74.00344 40.68062,-74.00316 40.68153,-74.00273 40.6853,-74.00089 40.68726,-73.99995 40.68924,-73.99899 40.68972,-73.99882 40.69033,-73.99879 40.69092,-73.99901 40.69159,-73.99928|
4616232|Brooklyn|BQE S 46TH STREET - LEONARD STREET|Mon 2016-11-07 10:59:35|11.81|569|40.71772,-73.94831 40.71862,-73.94685 40.72016,-73.94432 40.72148,-73.94205 40.72212,-73.94112 40.72268,-73.94034 40.72332,-73.93917 40.72411,-73.93774 40.72437,-73.93721 40.72472,-73.93591 40.72546,-73.933 40.72574,-73.93212 40.72612,-73.93137 40.72687,-73.93028 40.72747,-73.92956 40.72804,-73.92886 40.72871,-73.92814 40.72968,-73.92725 40.73064,-73.92657 40.73235,-73.92539 40.73293,-73.92488 40.73345,-73.9243 40.7339,-73.92365 40.73417,-73.92314 40.7347,-73.92187 40.73511,-73.92022|
